image_path,transcription,predictions
data/0_input/handout-modified/train/95.png,providencia,"prouidencia
"
data/0_input/handout-modified/train/96.png,obtenerse,
data/0_input/handout-modified/train/97.png,cuydar,"cuvydar
"
data/0_input/handout-modified/test/98.png,,"gencias
"
data/0_input/handout-modified/train/99.png,creyendo,"crevendo
"
data/0_input/handout-modified/train/100.png,chos,"Sup!m
"
data/0_input/handout-modified/test/101.png,,
data/0_input/handout-modified/test/102.png,,"mucho
"
data/0_input/handout-modified/test/103.png,,
data/0_input/handout-modified/test/104.png,,"elpirirual,
"
data/0_input/handout-modified/train/105.png,"Ilustres,","lluftres
"
data/0_input/handout-modified/test/106.png,,"las
"
data/0_input/handout-modified/test/107.png,,
data/0_input/handout-modified/train/108.png,"podays,",
data/0_input/handout-modified/train/109.png,amparo,"amparo
"
data/0_input/handout-modified/train/110.png,nima,
data/0_input/handout-modified/train/111.png,acopanava,"coponer
"
data/0_input/handout-modified/train/112.png,respetad,
data/0_input/handout-modified/train/113.png,Oyd,
data/0_input/handout-modified/test/114.png,,
data/0_input/handout-modified/test/115.png,,
data/0_input/handout-modified/train/116.png,Propheta;,
data/0_input/handout-modified/train/117.png,si-,
data/0_input/handout-modified/train/118.png,Vuestra,"Iplead
"
data/0_input/handout-modified/test/119.png,,
data/0_input/handout-modified/train/120.png,aunque,"—> =
"
data/0_input/handout-modified/train/121.png,tampoco,
data/0_input/handout-modified/train/122.png,"afeminados,",
data/0_input/handout-modified/train/123.png,perar,"perar
"
data/0_input/handout-modified/train/124.png,"Fortaleza,","Fortaleza
"
data/0_input/handout-modified/train/125.png,"mayor,",
data/0_input/handout-modified/train/126.png,"rectamente,","rectamente
"
data/0_input/handout-modified/train/127.png,"Sacramento,","Sacramento,Di
"
data/0_input/handout-modified/train/128.png,"menos,",
data/0_input/handout-modified/train/129.png,seria,"hazer
"
data/0_input/handout-modified/test/130.png,,"rales
"
data/0_input/handout-modified/train/131.png,sufrir,"Mufrir
"
data/0_input/handout-modified/train/132.png,ble,
data/0_input/handout-modified/train/133.png,"noble,","uc
"
data/0_input/handout-modified/test/134.png,,
data/0_input/handout-modified/test/135.png,,
data/0_input/handout-modified/train/136.png,ponde-,"fegun
"
data/0_input/handout-modified/train/137.png,mentado,"mentado
"
data/0_input/handout-modified/test/138.png,,
data/0_input/handout-modified/train/139.png,y,
data/0_input/handout-modified/train/140.png,cando,"cando
"
data/0_input/handout-modified/test/141.png,,"bien
"
data/0_input/handout-modified/train/142.png,Esto,
data/0_input/handout-modified/test/143.png,,
data/0_input/handout-modified/train/144.png,aya,
data/0_input/handout-modified/test/145.png,,"ganancias
"
data/0_input/handout-modified/test/146.png,,
data/0_input/handout-modified/test/147.png,,
data/0_input/handout-modified/test/148.png,,
data/0_input/handout-modified/train/149.png,esti-,
data/0_input/handout-modified/train/150.png,cumplir,"cumplir
"
data/0_input/handout-modified/train/151.png,Señor,"Señor
"
data/0_input/handout-modified/test/152.png,,"Ibiren. Y
"
data/0_input/handout-modified/train/153.png,hecho,
data/0_input/handout-modified/test/154.png,,
data/0_input/handout-modified/train/155.png,apostatar,
data/0_input/handout-modified/train/156.png,"oro,",
data/0_input/handout-modified/train/157.png,Angel,"Angel
"
data/0_input/handout-modified/test/158.png,,"anuncian
"
data/0_input/handout-modified/test/159.png,,"Sañta.
"
data/0_input/handout-modified/train/160.png,gente,"Teanre
"
data/0_input/handout-modified/test/161.png,,
data/0_input/handout-modified/train/162.png,hablad,"hablad
"
data/0_input/handout-modified/train/163.png,"encia,","Idencia,
"
data/0_input/handout-modified/train/164.png,"tamente,",
data/0_input/handout-modified/test/165.png,,"dili-
"
data/0_input/handout-modified/test/166.png,,
data/0_input/handout-modified/train/167.png,contentaos,"pofible
"
data/0_input/handout-modified/test/168.png,,"aucys
"
data/0_input/handout-modified/train/169.png,"Dios,","coa
"
data/0_input/handout-modified/train/170.png,quanto,
data/0_input/handout-modified/train/171.png,raleza,
data/0_input/handout-modified/test/172.png,,
data/0_input/handout-modified/train/173.png,elegir,"elegir
"
data/0_input/handout-modified/test/174.png,,
data/0_input/handout-modified/train/175.png,recogido,"recogido
"
data/0_input/handout-modified/train/176.png,"Socrates,","Jocrares,
"
data/0_input/handout-modified/train/177.png,EN,
data/0_input/handout-modified/train/178.png,tial,"cial
"
data/0_input/handout-modified/train/179.png,"zer,",
data/0_input/handout-modified/train/180.png,des,
data/0_input/handout-modified/test/181.png,,"con
"
data/0_input/handout-modified/train/182.png,"inchado,","linchado
"
data/0_input/handout-modified/test/183.png,,
data/0_input/handout-modified/train/184.png,devotos,
data/0_input/handout-modified/test/185.png,,
data/0_input/handout-modified/train/186.png,bligados,"Ibligados
"
data/0_input/handout-modified/test/187.png,,"que
"
data/0_input/handout-modified/train/188.png,"mano,",
data/0_input/handout-modified/train/189.png,ahora,
data/0_input/handout-modified/train/190.png,dar,"<Jar
"
data/0_input/handout-modified/train/191.png,dificil,
data/0_input/handout-modified/test/192.png,,
data/0_input/handout-modified/train/193.png,dellas,
data/0_input/handout-modified/test/194.png,,
data/0_input/handout-modified/test/195.png,,"que
"
data/0_input/handout-modified/test/196.png,,"ella
"
data/0_input/handout-modified/train/197.png,soys,"fovys
"
data/0_input/handout-modified/test/198.png,,"says
"
data/0_input/handout-modified/test/199.png,,"fantero
"
data/0_input/handout-modified/train/200.png,rehuseys,"-publico ico
"
data/0_input/handout-modified/train/201.png,fiestas,"fieltas
"
data/0_input/handout-modified/train/202.png,Seneca,"Seneca
"
data/0_input/handout-modified/train/203.png,Philosophos,"Cen
"
data/0_input/handout-modified/train/204.png,realce,
data/0_input/handout-modified/train/205.png,Agus-,
data/0_input/handout-modified/test/206.png,,
data/0_input/handout-modified/test/207.png,,
data/0_input/handout-modified/train/208.png,"nio,","IOo.a
"
data/0_input/handout-modified/train/209.png,rase,
data/0_input/handout-modified/test/210.png,,"hazed
"
data/0_input/handout-modified/train/211.png,Sol.,"Soi.
"
data/0_input/handout-modified/train/212.png,pues,
data/0_input/handout-modified/test/213.png,,
data/0_input/handout-modified/train/214.png,poner,"poner
"
data/0_input/handout-modified/train/215.png,"ello,","ello,alumbradle
"
data/0_input/handout-modified/train/216.png,trato,"raro
"
data/0_input/handout-modified/test/217.png,,
data/0_input/handout-modified/train/218.png,"desseo,","deflco,
"
data/0_input/handout-modified/test/219.png,,
data/0_input/handout-modified/train/220.png,haze,
data/0_input/handout-modified/train/221.png,siem-,"fiem-
"
data/0_input/handout-modified/train/222.png,per-,
data/0_input/handout-modified/train/223.png,"ella,",
data/0_input/handout-modified/train/224.png,toda,
data/0_input/handout-modified/test/225.png,,"cumplis
"
data/0_input/handout-modified/test/226.png,,
data/0_input/handout-modified/train/227.png,compostura,"compottura
"
data/0_input/handout-modified/train/228.png,ni,
data/0_input/handout-modified/train/229.png,fin,
data/0_input/handout-modified/train/230.png,des-,
data/0_input/handout-modified/train/231.png,patroci-,"hempre
"
data/0_input/handout-modified/test/232.png,,"grero.
"
data/0_input/handout-modified/train/233.png,dos,"«los
"
data/0_input/handout-modified/train/234.png,"condiciones,","porque
"
data/0_input/handout-modified/test/235.png,,"vue-
"
data/0_input/handout-modified/test/236.png,,
data/0_input/handout-modified/train/237.png,"ultimamente,","gloriofo
"
data/0_input/handout-modified/train/238.png,educacion,"educación
"
data/0_input/handout-modified/train/239.png,piedad,"piedad
"
data/0_input/handout-modified/test/240.png,,"ocho
"
data/0_input/handout-modified/test/241.png,,"muchos
"
data/0_input/handout-modified/train/242.png,"piedras,","piedras, O
"
data/0_input/handout-modified/train/243.png,"preciar,","preciar
"
data/0_input/handout-modified/train/244.png,continuo,"continuo
"
data/0_input/handout-modified/train/245.png,un,"cochero!
"
data/0_input/handout-modified/train/246.png,Primogénito.,"Primogentto,
"
data/0_input/handout-modified/train/247.png,escrito:,"efcrito:
"
data/0_input/handout-modified/train/248.png,Tampoco,
data/0_input/handout-modified/test/249.png,,"qual
"
data/0_input/handout-modified/train/250.png,procuran),"procuran
"
data/0_input/handout-modified/train/251.png,divinos,"divinos
"
data/0_input/handout-modified/train/252.png,mayores,"mayores
"
data/0_input/handout-modified/train/253.png,unos,
data/0_input/handout-modified/train/254.png,tomad,"romad
"
data/0_input/handout-modified/test/255.png,,
data/0_input/handout-modified/test/256.png,,"hallevs
"
data/0_input/handout-modified/train/257.png,ser,
data/0_input/handout-modified/test/258.png,,"guna
"
data/0_input/handout-modified/train/259.png,"hallan,",
data/0_input/handout-modified/test/260.png,,"“Juinto
"
data/0_input/handout-modified/train/261.png,"Bullon,","¡Bullon.
"
data/0_input/handout-modified/test/262.png,,"reys,!
"
data/0_input/handout-modified/train/263.png,no,
data/0_input/handout-modified/test/264.png,,
data/0_input/handout-modified/train/265.png,vene-,
data/0_input/handout-modified/train/266.png,apli-,"aj i—
"
data/0_input/handout-modified/train/267.png,fermedad,
data/0_input/handout-modified/test/268.png,,"mucho
"
data/0_input/handout-modified/test/269.png,,"en
"
data/0_input/handout-modified/test/270.png,,"Ireys
"
data/0_input/handout-modified/test/271.png,,
data/0_input/handout-modified/train/272.png,limos-,"l:mot-
"
data/0_input/handout-modified/test/273.png,,"penfando
"
data/0_input/handout-modified/test/274.png,,"ava
"
data/0_input/handout-modified/test/275.png,,"fervirle
"
data/0_input/handout-modified/train/276.png,tin:,"Y rimit.
"
data/0_input/handout-modified/test/277.png,,"tha
"
data/0_input/handout-modified/test/278.png,,
data/0_input/handout-modified/train/279.png,truxeron,"truxeron
"
data/0_input/handout-modified/test/280.png,,
data/0_input/handout-modified/train/281.png,"vuestra,","vueltra.
"
data/0_input/handout-modified/test/282.png,,"los
"
data/0_input/handout-modified/test/283.png,,"tormento
"
data/0_input/handout-modified/train/284.png,Ale-,
data/0_input/handout-modified/test/285.png,,"cordaos
"
data/0_input/handout-modified/train/286.png,noble,"noble
"
data/0_input/handout-modified/test/287.png,,"fu
"
data/0_input/handout-modified/test/288.png,,"mejor
"
data/0_input/handout-modified/train/289.png,Magestad,"Mapeftad
"
data/0_input/handout-modified/test/290.png,,
data/0_input/handout-modified/test/291.png,,
data/0_input/handout-modified/test/292.png,,"Chriltiano
"
data/0_input/handout-modified/test/293.png,,"que
"
data/0_input/handout-modified/train/294.png,"cencia,","Icencia, Y
"
data/0_input/handout-modified/test/295.png,,"IChrittrano.v
"
data/0_input/handout-modified/train/296.png,Viatico,"Viarico
"
data/0_input/handout-modified/train/297.png,do,
data/0_input/handout-modified/train/298.png,Digo,
data/0_input/handout-modified/train/299.png,nuestra,"nueftra
"
data/0_input/handout-modified/test/300.png,,"cuydado
"
data/0_input/handout-modified/train/301.png,gacion,
data/0_input/handout-modified/test/302.png,,"Confeflor
"
data/0_input/handout-modified/test/303.png,,"colas
"
data/0_input/handout-modified/train/304.png,agradecido,"agradecido
"
data/0_input/handout-modified/train/305.png,A,
data/0_input/handout-modified/train/306.png,si,"para
"
data/0_input/handout-modified/train/307.png,rara,
data/0_input/handout-modified/train/308.png,"Christiana,","Chriftiana
"
data/0_input/handout-modified/test/309.png,,
data/0_input/handout-modified/train/310.png,conveniente,"conuentente
"
data/0_input/handout-modified/train/311.png,so:,
data/0_input/handout-modified/train/312.png,Nobleza),"Nobleza
"
data/0_input/handout-modified/train/313.png,jugar,"pu ==
>

"
data/0_input/handout-modified/test/314.png,,
data/0_input/handout-modified/test/315.png,,"ria
"
data/0_input/handout-modified/test/316.png,,
data/0_input/handout-modified/train/317.png,privilegio,"priuilegio
"
data/0_input/handout-modified/test/318.png,,
data/0_input/handout-modified/train/319.png,blen,
data/0_input/handout-modified/test/320.png,,
data/0_input/handout-modified/train/321.png,(como,
data/0_input/handout-modified/test/322.png,,
data/0_input/handout-modified/train/323.png,sentimiento,"(entimiento
"
data/0_input/handout-modified/test/324.png,,"gouierno
"
data/0_input/handout-modified/train/325.png,hijos,
data/0_input/handout-modified/train/326.png,"ron,",
data/0_input/handout-modified/test/327.png,,
data/0_input/handout-modified/train/328.png,Ci-,
data/0_input/handout-modified/train/329.png,Misterio.,"Milterio
"
data/0_input/handout-modified/train/330.png,"busca,",
data/0_input/handout-modified/train/331.png,al,
data/0_input/handout-modified/test/332.png,,"Trrancif-
"
data/0_input/handout-modified/test/333.png,,"Borja
"
data/0_input/handout-modified/train/334.png,useys,
data/0_input/handout-modified/train/335.png,huyr,
data/0_input/handout-modified/train/336.png,(grave,
data/0_input/handout-modified/train/337.png,herencia,"herencia
"
data/0_input/handout-modified/train/338.png,tendreys,"rendrevs
"
data/0_input/handout-modified/test/339.png,,
data/0_input/handout-modified/test/340.png,,
data/0_input/handout-modified/test/341.png,,"Emperadores
"
data/0_input/handout-modified/train/342.png,primera,"primera
"
data/0_input/handout-modified/train/343.png,mejor,
data/0_input/handout-modified/train/344.png,aquí,
data/0_input/handout-modified/test/345.png,,
data/0_input/handout-modified/train/346.png,faltan,
data/0_input/handout-modified/test/347.png,,
data/0_input/handout-modified/train/348.png,gas-,
data/0_input/handout-modified/train/349.png,"sumen,","fumen
"
data/0_input/handout-modified/train/350.png,"les,",
data/0_input/handout-modified/train/351.png,mostrarles,"moltrarlés
"
data/0_input/handout-modified/train/352.png,le,"E
"
data/0_input/handout-modified/test/353.png,,"para
"
data/0_input/handout-modified/train/354.png,(peste,"Npefte
"
data/0_input/handout-modified/train/355.png,aviendose,"aviendofe
"
data/0_input/handout-modified/train/356.png,darme,"darme
"
data/0_input/handout-modified/test/357.png,,
data/0_input/handout-modified/train/358.png,"Artifices,","Arrifices
"
data/0_input/handout-modified/train/359.png,hazen,"hazer
"
data/0_input/handout-modified/train/360.png,servid,"Meruid
"
data/0_input/handout-modified/test/361.png,,"Carlos
"
data/0_input/handout-modified/train/362.png,"puertas,","puerras,fe
"
data/0_input/handout-modified/train/363.png,quieren,"quieren
"
data/0_input/handout-modified/train/364.png,"so,",
data/0_input/handout-modified/train/365.png,Madre),"Madre
"
data/0_input/handout-modified/test/366.png,,"quifo
"
data/0_input/handout-modified/train/367.png,costumbres.,"coltumbres.
"
data/0_input/handout-modified/test/368.png,,
data/0_input/handout-modified/train/369.png,zidas,"zidas
"
data/0_input/handout-modified/test/370.png,,"Lib.e1.Ye
"
data/0_input/handout-modified/train/371.png,Preciaos,"Preciaos
"
data/0_input/handout-modified/train/372.png,obligados,"obligados
"
data/0_input/handout-modified/train/373.png,vuestro,"vueltro
"
data/0_input/handout-modified/train/374.png,diencia,"Idiencia
"
data/0_input/handout-modified/test/375.png,,"que
"
data/0_input/handout-modified/train/376.png,"rodilla,",
data/0_input/handout-modified/test/377.png,,"breves.
"
data/0_input/handout-modified/train/378.png,co,
data/0_input/handout-modified/train/379.png,todas,"rodas
"
data/0_input/handout-modified/train/380.png,por,"vueltra
"
data/0_input/handout-modified/train/381.png,na,
data/0_input/handout-modified/train/382.png,alguna,
data/0_input/handout-modified/train/383.png,Señores,"Señores
"
data/0_input/handout-modified/test/384.png,,"que
"
data/0_input/handout-modified/test/385.png,,"Oficio
"
data/0_input/handout-modified/test/386.png,,"fanti-
"
data/0_input/handout-modified/train/387.png,atencion,
data/0_input/handout-modified/train/388.png,tempora-,
data/0_input/handout-modified/test/389.png,,
data/0_input/handout-modified/train/390.png,(que,
data/0_input/handout-modified/test/391.png,,
data/0_input/handout-modified/train/392.png,documen,"docnmen
"
data/0_input/handout-modified/train/393.png,celebrareys,
data/0_input/handout-modified/test/394.png,,"dezia
"
data/0_input/handout-modified/train/395.png,"fortaleza,",
data/0_input/handout-modified/train/396.png,reconocer,
data/0_input/handout-modified/test/397.png,,
data/0_input/handout-modified/train/398.png,"pion,",
data/0_input/handout-modified/train/399.png,Potentados,"Porentados
"
data/0_input/handout-modified/train/400.png,"Ciceron,","""teles. v
"
data/0_input/handout-modified/test/401.png,,
data/0_input/handout-modified/train/402.png,verdad,
data/0_input/handout-modified/train/403.png,bondad,"bondad
"
data/0_input/handout-modified/train/404.png,jamas,"121as
"
data/0_input/handout-modified/test/405.png,,
data/0_input/handout-modified/train/406.png,salir),
data/0_input/handout-modified/train/407.png,instante,"inftante
"
data/0_input/handout-modified/train/408.png,tan,"indecente
"
data/0_input/handout-modified/train/409.png,amenaza,
data/0_input/handout-modified/train/410.png,jun-,
data/0_input/handout-modified/train/411.png,"engrandecen,","engrandecen,
"
data/0_input/handout-modified/test/412.png,,
data/0_input/handout-modified/train/413.png,honra,"honra
"
data/0_input/handout-modified/train/414.png,co-,
data/0_input/handout-modified/test/415.png,,"delto,
"
data/0_input/handout-modified/train/416.png,ella,
data/0_input/handout-modified/test/417.png,,
data/0_input/handout-modified/test/418.png,,"mejor
"
data/0_input/handout-modified/train/419.png,preceptos,"preceptos
"
data/0_input/handout-modified/train/420.png,Divino,"Diuino
"
data/0_input/handout-modified/train/421.png,Gofredo,
data/0_input/handout-modified/test/422.png,,
data/0_input/handout-modified/train/423.png,venciendose,"rodos.
"
data/0_input/handout-modified/train/424.png,asiento,"afliento
"
data/0_input/handout-modified/train/425.png,"bertad,","ibertad, y
"
data/0_input/handout-modified/train/426.png,"demas,",
data/0_input/handout-modified/test/427.png,,
data/0_input/handout-modified/train/428.png,principal,
data/0_input/handout-modified/train/429.png,trado,
data/0_input/handout-modified/train/430.png,"eterna,",
data/0_input/handout-modified/test/431.png,,"aprobadas
"
data/0_input/handout-modified/train/432.png,discursos,"difeuríos
"
data/0_input/handout-modified/train/433.png,civil),
data/0_input/handout-modified/test/434.png,,"cion
"
data/0_input/handout-modified/test/435.png,,"lolefia
"
data/0_input/handout-modified/train/436.png,Estephano,"Eftephano
"
data/0_input/handout-modified/test/437.png,,
data/0_input/handout-modified/test/438.png,,"talenro?
"
data/0_input/handout-modified/train/439.png,"sienten,","bien
"
data/0_input/handout-modified/test/440.png,,
data/0_input/handout-modified/train/441.png,bien,"bien
"
data/0_input/handout-modified/test/442.png,,"probada
"
data/0_input/handout-modified/train/443.png,suya,
data/0_input/handout-modified/train/444.png,vayan.,"vayan.
"
data/0_input/handout-modified/test/445.png,,
data/0_input/handout-modified/train/446.png,David,"Dauid
"
data/0_input/handout-modified/test/447.png,,
data/0_input/handout-modified/train/448.png,hallaredes,"hallaredes
"
data/0_input/handout-modified/test/449.png,,"Mean
"
data/0_input/handout-modified/train/450.png,saldreys,
data/0_input/handout-modified/test/451.png,,
data/0_input/handout-modified/train/452.png,"claridad,",
data/0_input/handout-modified/test/453.png,,"dias,
"
data/0_input/handout-modified/test/454.png,,"Cruz. v
"
data/0_input/handout-modified/test/455.png,,"para
"
data/0_input/handout-modified/test/456.png,,
data/0_input/handout-modified/train/457.png,quan-,"Qi an-
"
data/0_input/handout-modified/train/458.png,tales,"cales
"
data/0_input/handout-modified/train/459.png,"dellos,","dellos,
"
data/0_input/handout-modified/test/460.png,,"han
"
data/0_input/handout-modified/test/461.png,,
data/0_input/handout-modified/train/462.png,hazienda,"hazienda
"
data/0_input/handout-modified/train/463.png,hallo,
data/0_input/handout-modified/train/464.png,beralidad,"beralidad
"
data/0_input/handout-modified/train/465.png,pidieren),"pidierem
"
data/0_input/handout-modified/test/466.png,,
data/0_input/handout-modified/train/467.png,cadaver,"radaner
"
data/0_input/handout-modified/test/468.png,,"hazienda
"
data/0_input/handout-modified/test/469.png,,"pues
"
data/0_input/handout-modified/train/470.png,largos,
data/0_input/handout-modified/test/471.png,,
data/0_input/handout-modified/test/472.png,,"cafo
"
data/0_input/handout-modified/test/473.png,,"Liado.aue
"
data/0_input/handout-modified/train/474.png,"Familias,","Familias
"
data/0_input/handout-modified/test/475.png,,
data/0_input/handout-modified/test/476.png,,"vueltra
"
data/0_input/handout-modified/test/477.png,,"engaño,
"
data/0_input/handout-modified/train/478.png,"dole,","dole,
"
data/0_input/handout-modified/train/479.png,"predeterminacion,","Prede
"
data/0_input/handout-modified/train/480.png,"Carbunco,",
data/0_input/handout-modified/train/481.png,principio,"principio
"
data/0_input/handout-modified/train/482.png,carga,"Cora
"
data/0_input/handout-modified/train/483.png,quantos,"quantos
"
data/0_input/handout-modified/train/484.png,conclu-,"conclu
"
data/0_input/handout-modified/train/485.png,"descubierto,","deleubierto
"
data/0_input/handout-modified/train/486.png,mortales,
data/0_input/handout-modified/test/487.png,,
data/0_input/handout-modified/test/488.png,,
data/0_input/handout-modified/train/489.png,grandeza.,"grandeza
"
data/0_input/handout-modified/train/490.png,"Noble,",
data/0_input/handout-modified/train/491.png,ocul,"OC
"
data/0_input/handout-modified/test/492.png,,"gavs
"
data/0_input/handout-modified/test/493.png,,"tveltido(fiempre
"
data/0_input/handout-modified/train/494.png,Her-,
data/0_input/handout-modified/train/495.png,mildad,"Imildad
"
data/0_input/handout-modified/train/496.png,parecido,"parecido
"
data/0_input/handout-modified/test/497.png,,"f(entimienco!
"
data/0_input/handout-modified/train/498.png,"lugares,","Murarcs, y
"
data/0_input/handout-modified/train/499.png,agra-,
data/0_input/handout-modified/train/500.png,engañado,"engañado
"
data/0_input/handout-modified/test/501.png,,"¡deuócion
"
data/0_input/handout-modified/train/502.png,caso,"callo
"
data/0_input/handout-modified/test/503.png,,
data/0_input/handout-modified/train/504.png,"grande,","grande,
"
data/0_input/handout-modified/train/505.png,dicha,
data/0_input/handout-modified/train/506.png,"tuoso,","ruofo
"
data/0_input/handout-modified/train/507.png,hora,
data/0_input/handout-modified/test/508.png,,"autoridad
"
data/0_input/handout-modified/train/509.png,"Theodosio,","Theodofo.
"
data/0_input/handout-modified/train/510.png,devidas,"deuidas
"
data/0_input/handout-modified/test/511.png,,"aneve
"
data/0_input/handout-modified/test/512.png,,"Dios
"
data/0_input/handout-modified/train/513.png,sallos,"Mallos
"
data/0_input/handout-modified/train/514.png,os,
data/0_input/handout-modified/train/515.png,preside.,"pretide.
"
data/0_input/handout-modified/train/516.png,daros,"daros
"
data/0_input/handout-modified/test/517.png,,
data/0_input/handout-modified/train/518.png,Em-,
data/0_input/handout-modified/train/519.png,Hablad,"Hablad
"
data/0_input/handout-modified/train/520.png,Aqui,"A gui
"
data/0_input/handout-modified/train/521.png,sin,
data/0_input/handout-modified/train/522.png,introdu-,"inrrodu-
"
data/0_input/handout-modified/train/523.png,"Bautismo,",
data/0_input/handout-modified/train/524.png,gracia,"gracia
"
data/0_input/handout-modified/train/525.png,meses,"metes
"
data/0_input/handout-modified/train/526.png,tener,"rener
"
data/0_input/handout-modified/train/527.png,"immortal,","immorral
"
data/0_input/handout-modified/test/528.png,,
data/0_input/handout-modified/train/529.png,"estrecha,","eltrecha
"
data/0_input/handout-modified/test/530.png,,"elperan
"
data/0_input/handout-modified/train/531.png,pro-,"Pro
"
data/0_input/handout-modified/train/532.png,proveydas,
data/0_input/handout-modified/train/533.png,"cion,","cion
"
data/0_input/handout-modified/train/534.png,Pacien,"Pacien
"
data/0_input/handout-modified/test/535.png,,
data/0_input/handout-modified/test/536.png,,
data/0_input/handout-modified/test/537.png,,
data/0_input/handout-modified/train/538.png,ello,
